replicate	condition	image	n_nuclei	proximal_nuclear	proximal_extranuclear	distal_nuclear	distal_extranuclear
1	CTRL1	CTRL1	32	41	3	9	2
1	CTRL2	CTRL2	27	28	11	14	4
1	CTRL3	CTRL3	28	26	12	14	3
1	CTRL4	CTRL4	35	41	8	25	4
1	CTRL5	CTRL5	19	36	2	20	2
1	CTRL6	CTRL6	28	32	3	9	1
1	CTRL7	CTRL7	24	20	9	7	2
1	CTRL8	CTRL8	18	19	3	12	2
1	CTRL9	CTRL9	29	33	2	14	0
1	CTRL10	CTRL10	32	33	3	13	1
1	TDP1	TDP1	15	77	16	62	18
1	TDP2	TDP2	19	20	14	18	22
1	TDP3	TDP3	53	145	22	150	42
1	TDP4	TDP4	23	35	13	50	15
1	TDP5	TDP5	43	61	35	72	53
1	TDP6	TDP6	43	59	12	67	44
1	TDP7	TDP7	19	42	22	40	30
1	TDP8	TDP8	41	88	17	94	35
1	TDP9	TDP9	26	63	31	49	41
1	TDP10	TDP10	18	40	13	27	14
2	CTRL1	CTRL1	2	7	4	3	3
2	CTRL2	CTRL2	4	4	4	1	1
2	CTRL3	CTRL3	3	4	6	1	2
2	CTRL4	CTRL4	3	5	7	2	2
2	CTRL5	CTRL5	3	3	5	1	0
2	CTRL6	CTRL6	2	5	7	1	0
2	CTRL7	CTRL7	3	3	11	1	1
2	CTRL8	CTRL8	4	4	9	2	7
2	CTRL9	CTRL9	2	1	5	0	2
2	CTRL10	CTRL10	2	3	5	0	2
2	TDP1	TDP1	5	15	35	15	39
2	TDP2	TDP2	4	21	34	24	33
2	TDP3	TDP3	4	17	23	12	27
2	TDP4	TDP4	3	10	32	1	29
2	TDP5	TDP5	8	29	49	19	40
2	TDP6	TDP6	3	5	21	5	20
2	TDP7	TDP7	3	10	31	15	25
2	TDP8	TDP8	3	25	39	8	16
2	TDP9	TDP9	6	22	27	13	35
2	TDP10	TDP10	4	18	44	13	42
3	CTRL1	CTRL1	32	40	4	13	0
3	CTRL2	CTRL2	40	66	3	30	0
3	CTRL3	CTRL3	15	24	4	7	0
3	CTRL4	CTRL4	30	49	2	10	2
3	CTRL5	CTRL5	35	46	5	6	0
3	CTRL6	CTRL6	29	41	3	12	1
3	CTRL7	CTRL7	30	34	10	6	0
3	CTRL8	CTRL8	28	24	7	6	1
3	CTRL9	CTRL9	30	36	7	17	3
3	CTRL10	CTRL10	21	29	4	10	1
3	TDP1	TDP1	17	50	12	20	12
3	TDP2	TDP2	23	46	9	15	16
3	TDP3	TDP3	36	122	24	11	98
3	TDP4	TDP4	28	71	12	39	22
3	TDP5	TDP5	23	70	22	61	27
3	TDP6	TDP6	23	96	21	105	39
3	TDP7	TDP7	24	48	21	27	22
3	TDP8	TDP8	22	51	17	58	25
3	TDP9	TDP9	27	76	22	80	32
3	TDP10	TDP10	27	82	18	53	32